year,value
1950,2499322112
1951,2543130368
1952,2590270976
1953,2640278784
1954,2691979264
1955,2746072064
1956,2801002752
1957,2857866752
1958,2916108032
1959,2970292224
1960,3019233536
1961,3068370688
1962,3126686720
1963,3195779328
1964,3267212288
1965,3337112064
1966,3406416896
1967,3475448064
1968,3546810880
1969,3620655360
1970,3695390208
1971,3770163200
1972,3844800768
1973,3920251392
1974,3995516928
1975,4069437184
1976,4142505728
1977,4215772416
1978,4289657600
1979,4365582848
1980,4444007936
1981,4524627456
1982,4607984640
1983,4691884032
1984,4775836160
1985,4861730816
1986,4950063104
1987,5040984576
1988,5132294144
1989,5223704064
1990,5316175872
1991,5406245888
1992,5492686336
1993,5577433600
1994,5660727808
1995,5743219712
1996,5825145344
1997,5906481152
1998,5987312640
1999,6067758592
2000,6148898816
2001,6230747136
2002,6312407552
2003,6393898496
2004,6475751424
2005,6558176256
2006,6641416192
2007,6725948416
2008,6811597312
2009,6898306048
2010,6985603072
2011,7073125376
2012,7161697792
2013,7250593280
2014,7339013632
2015,7426597376
2016,7513474048
2017,7599822336
2018,7683789824
2019,7764951040
2020,7840952832
2021,7909295104
2022,7950000000
2023,8001500000